,count,mean,std,min,25%,50%,75%,max
items,98666.0,1.1417306873695092,0.5384523739205161,1.0,1.0,1.0,1.0,21.0
product_value,98666.0,137.75407637889447,210.64514531166344,0.85,45.9,86.9,149.9,13440.0
freight_value,98666.0,22.82356171325482,21.65090948046291,0.0,13.85,17.17,24.04,1794.96
order_total_value,98666.0,160.57763809214924,220.4660865147853,9.59,61.98,105.29,176.87,13664.08
weight_kg,98666.0,2.390027669105873,4.773239824781145,0.0,0.3,0.75,2.06675,184.4
avg_distance_km,98177.0,610.79747841086,595.1316264672713,0.0,222.38985328911747,431.179333481156,784.9003516353985,8724.560158895143
paid_total,98666.0,160.60527608294652,220.48372712819108,0.0,62.0,105.29,176.88,13664.08
avg_review_score,97917.0,4.105054961515024,1.3303158607941512,1.0,4.0,5.0,5.0,5.0
