distance_band,freight_value,avg_distance_km,on_time_delivery,current_rate_per_km,recommended_rate_per_km,potential_savings_pct
<100km,24.095894736842105,75.47314785788025,0.968421052631579,0.319,0.29348,8.0
100-300km,16.474249327926366,155.13794015121124,0.9318813505262679,0.106,0.09752,8.0
300-500km,22.23219770449402,386.94182209596636,0.9133527319754284,0.057,0.05244000000000001,8.0
500-1000km,24.305721477752275,704.2466034107836,0.9079366254534685,0.035,0.032200000000000006,8.0
>1000km,35.42766116376875,1737.0843721552378,0.8732031887514908,0.02,0.02,0.0
